	from	to
1	total	d__Archaea
2	total	d__Bacteria
3	d__Archaea	p__Crenarchaeota
4	d__Archaea	p__Halobacterota
5	d__Archaea	p__Nanoarchaeota
6	d__Bacteria	p__Acidobacteriota
7	d__Bacteria	p__Actinobacteriota
8	d__Bacteria	p__Armatimonadota
9	d__Bacteria	p__Bacteroidota
10	d__Bacteria	p__Chloroflexi
11	d__Bacteria	p__Cyanobacteria
12	d__Bacteria	p__Deinococcota
13	d__Bacteria	p__Desulfobacterota
14	d__Bacteria	p__Elusimicrobiota
15	d__Bacteria	p__Entotheonellaeota
16	d__Bacteria	p__Fibrobacterota
17	d__Bacteria	p__Firmicutes
18	d__Bacteria	p__Gemmatimonadota
19	d__Bacteria	p__MBNT15
20	d__Bacteria	p__Myxococcota
21	d__Bacteria	p__Nitrospirota
22	d__Bacteria	p__Patescibacteria
23	d__Bacteria	p__Planctomycetota
24	d__Bacteria	p__Proteobacteria
25	d__Bacteria	p__Spirochaetota
26	d__Bacteria	p__Sva0485
27	d__Bacteria	p__Verrucomicrobiota
28	d__Bacteria	p__WPS-2
29	d__Bacteria	p__WS4
30	p__Crenarchaeota	c__Bathyarchaeia
31	p__Crenarchaeota	c__Nitrososphaeria
32	p__Halobacterota	c__Methanosarcinia
33	p__Nanoarchaeota	c__Nanoarchaeia
34	p__Acidobacteriota	c__Acidobacteriae
35	p__Acidobacteriota	c__Aminicenantia
36	p__Acidobacteriota	c__Holophagae
37	p__Acidobacteriota	c__Subgroup_18
38	p__Acidobacteriota	c__Subgroup_21
39	p__Acidobacteriota	c__Vicinamibacteria
40	p__Actinobacteriota	c__Actinobacteria
41	p__Actinobacteriota	c__Coriobacteriia
42	p__Actinobacteriota	c__Thermoleophilia
43	p__Armatimonadota	c__Armatimonadia
44	p__Armatimonadota	c__Chthonomonadetes
45	p__Bacteroidota	c__Bacteroidia
46	p__Bacteroidota	c__Ignavibacteria
47	p__Bacteroidota	c__Kryptonia
48	p__Chloroflexi	c__AD3
49	p__Chloroflexi	c__Anaerolineae
50	p__Chloroflexi	c__Dehalococcoidia
51	p__Chloroflexi	c__Ktedonobacteria
52	p__Chloroflexi	c__P2-11E
53	p__Chloroflexi	c__TK10
54	p__Cyanobacteria	c__Cyanobacteriia
55	p__Cyanobacteria	c__Vampirivibrionia
56	p__Deinococcota	c__Deinococci
57	p__Desulfobacterota	p__Desulfobacterota;__
58	p__Desulfobacterota	c__Desulfobaccia
59	p__Desulfobacterota	c__Desulfovibrionia
60	p__Desulfobacterota	c__Desulfuromonadia
61	p__Desulfobacterota	c__Syntrophia
62	p__Desulfobacterota	c__Syntrophobacteria
63	p__Desulfobacterota	c__Syntrophorhabdia
64	p__Elusimicrobiota	c__Endomicrobia
65	p__Entotheonellaeota	c__Entotheonellia
66	p__Fibrobacterota	c__Fibrobacteria
67	p__Firmicutes	p__Firmicutes;__
68	p__Firmicutes	c__Bacilli
69	p__Firmicutes	c__Clostridia
70	p__Firmicutes	c__Desulfitobacteriia
71	p__Firmicutes	c__Limnochordia
72	p__Firmicutes	c__Negativicutes
73	p__Firmicutes	c__Symbiobacteriia
74	p__Gemmatimonadota	c__Gemmatimonadetes
75	p__Gemmatimonadota	c__Longimicrobia
76	p__MBNT15	c__MBNT15
77	p__Myxococcota	c__Myxococcia
78	p__Myxococcota	c__Polyangia
79	p__Nitrospirota	c__4-29-1
80	p__Nitrospirota	c__Thermodesulfovibrionia
81	p__Patescibacteria	c__Saccharimonadia
82	p__Planctomycetota	c__Phycisphaerae
83	p__Planctomycetota	c__Planctomycetes
84	p__Proteobacteria	c__Alphaproteobacteria
85	p__Proteobacteria	c__Gammaproteobacteria
86	p__Spirochaetota	c__Leptospirae
87	p__Spirochaetota	c__Spirochaetia
