	name	size	group	shortName
1	g__Bathyarchaeia	1.870322719	Non_legumes	g__Bathyarchaeia
2	f__Nitrososphaeraceae;__	2.3269728	Non_legumes	f__Nitrososphaeraceae;__
3	g__Candidatus_Nitrosotalea	1.627943071	Legumes	g__Candidatus_Nitrosotalea
4	g__Methanosaeta	1.588714833	Non_legumes	g__Methanosaeta
5	g__Methanosarcina	2.275164003	Non_legumes	g__Methanosarcina
6	g__Woesearchaeales	2.660020886	Non_legumes	g__Woesearchaeales
7	f__Acidobacteriaceae_(Subgroup_1);__	1.513792518	Legumes	f__Acidobacteriaceae_(Subgroup_1);__
8	g__Acidipila	1.494057277	Legumes	g__Acidipila
9	g__Edaphobacter	1.173072519	Legumes	g__Edaphobacter
10	g__Granulicella	1.357717044	Legumes	g__Granulicella
11	f__Acidobacteriaceae_(Subgroup_1);g__uncultured	1.332646198	Legumes	f__Acidobacteriaceae_(Subgroup_1);g__uncultured
12	g__Candidatus_Koribacter	2.328049332	Non_legumes	g__Candidatus_Koribacter
13	o__Acidobacteriales;f__uncultured;g__uncultured	1.664980779	Legumes	o__Acidobacteriales;f__uncultured;g__uncultured
14	g__AKIW659	2.475264502	Non_legumes	g__AKIW659
15	g__Subgroup_2	1.120669252	Legumes	g__Subgroup_2
16	g__Aminicenantales	2.955296867	Non_legumes	g__Aminicenantales
17	f__Holophagaceae;__	1.156946173	Non_legumes	f__Holophagaceae;__
18	g__Holophaga	1.714874181	Legumes	g__Holophaga
19	g__Subgroup_18	2.354040472	Non_legumes	g__Subgroup_18
20	g__Subgroup_21	2.856966591	Non_legumes	g__Subgroup_21
21	f__Vicinamibacteraceae;__	1.109923266	Non_legumes	f__Vicinamibacteraceae;__
22	g__0319-7L14	1.053115038	Non_legumes	g__0319-7L14
23	g__Actinospica	2.799776611	Legumes	g__Actinospica
24	g__Catenulispora	2.021869413	Legumes	g__Catenulispora
25	g__Acidothermus	1.600052813	Legumes	g__Acidothermus
26	g__Frankia	2.215633049	Non_legumes	g__Frankia
27	g__Jatrophihabitans	1.530464222	Legumes	g__Jatrophihabitans
28	g__Longivirga	1.424733972	Non_legumes	g__Longivirga
29	g__Kineosporia	1.478656659	Legumes	g__Kineosporia
30	g__Brevibacterium	1.056400165	Non_legumes	g__Brevibacterium
31	g__Terrabacter	1.688333887	Legumes	g__Terrabacter
32	f__Micrococcaceae;__	1.112776381	Legumes	f__Micrococcaceae;__
33	g__Paenarthrobacter	1.675860554	Legumes	g__Paenarthrobacter
34	g__Pseudarthrobacter	3.188651363	Legumes	g__Pseudarthrobacter
35	g__Sinomonas	3.351349988	Legumes	g__Sinomonas
36	g__Promicromonospora	1.092923145	Non_legumes	g__Promicromonospora
37	g__Hamadaea	1.349607367	Non_legumes	g__Hamadaea
38	g__Crossiella	2.536624481	Legumes	g__Crossiella
39	f__Streptomycetaceae;__	1.327759815	Legumes	f__Streptomycetaceae;__
40	g__Kitasatospora	1.077295427	Legumes	g__Kitasatospora
41	g__OPB41	2.905980695	Non_legumes	g__OPB41
42	o__Gaiellales;__;__	1.350313113	Legumes	o__Gaiellales;__;__
43	o__Gaiellales;f__uncultured;g__uncultured	1.164607978	Legumes	o__Gaiellales;f__uncultured;g__uncultured
44	f__Solirubrobacteraceae;__	1.565847745	Legumes	f__Solirubrobacteraceae;__
45	g__Armatimonadales	1.338682304	Legumes	g__Armatimonadales
46	g__Chthonomonas	2.048435005	Legumes	g__Chthonomonas
47	c__Bacteroidia;__;__;__	1.0471461	Non_legumes	c__Bacteroidia;__;__;__
48	o__Bacteroidales;__;__	3.014313383	Non_legumes	o__Bacteroidales;__;__
49	g__Bacteroides	1.318993542	Legumes	g__Bacteroides
50	g__Bacteroidetes_vadinHA17	5.010162018	Non_legumes	g__Bacteroidetes_vadinHA17
51	g__Muribaculaceae	1.396246177	Legumes	g__Muribaculaceae
52	f__Paludibacteraceae;g__uncultured	1.296196232	Non_legumes	f__Paludibacteraceae;g__uncultured
53	g__BSV13	2.247517498	Non_legumes	g__BSV13
54	g__WCHB1-32	4.19371872	Non_legumes	g__WCHB1-32
55	g__Rikenellaceae_RC9_gut_group	1.263903339	Legumes	g__Rikenellaceae_RC9_gut_group
56	g__Arachidicoccus	1.467753649	Non_legumes	g__Arachidicoccus
57	g__Chitinophagaceae	1.609339649	Non_legumes	g__Chitinophagaceae
58	g__Lacibacter	2.374522771	Non_legumes	g__Lacibacter
59	g__UTBCD1	1.737588145	Legumes	g__UTBCD1
60	o__Cytophagales;__;__	1.533689891	Non_legumes	o__Cytophagales;__;__
61	g__Algoriphagus	1.914145502	Non_legumes	g__Algoriphagus
62	g__Ohtaekwangia	1.297586797	Non_legumes	g__Ohtaekwangia
63	g__Fluviicola	2.13285028	Non_legumes	g__Fluviicola
64	f__Flavobacteriaceae;__	1.104886793	Non_legumes	f__Flavobacteriaceae;__
65	g__Flavobacterium	1.257366169	Non_legumes	g__Flavobacterium
66	g__Chryseobacterium	2.712346343	Legumes	g__Chryseobacterium
67	g__Cloacibacterium	1.379494165	Non_legumes	g__Cloacibacterium
68	g__KD3-93	1.25192982	Non_legumes	g__KD3-93
69	g__Lentimicrobium	3.977032	Non_legumes	g__Lentimicrobium
70	g__Sphingobacterium	2.13150933	Legumes	g__Sphingobacterium
71	o__Ignavibacteriales;__;__	1.965379205	Non_legumes	o__Ignavibacteriales;__;__
72	g__BSV26	1.844531065	Non_legumes	g__BSV26
73	g__AD3	3.905900318	Legumes	g__AD3
74	c__Anaerolineae;__;__;__	1.728362186	Non_legumes	c__Anaerolineae;__;__;__
75	f__Anaerolineaceae;__	1.726444838	Non_legumes	f__Anaerolineaceae;__
76	g__Anaerolinea	3.506443355	Non_legumes	g__Anaerolinea
77	g__RBG-16-58-14	2.54835681	Non_legumes	g__RBG-16-58-14
78	f__Anaerolineaceae;g__uncultured	3.255387229	Non_legumes	f__Anaerolineaceae;g__uncultured
79	g__UTCFX1	1.612211158	Non_legumes	g__UTCFX1
80	g__RBG-13-54-9	2.030421799	Non_legumes	g__RBG-13-54-9
81	o__SBR1031;__;__	1.046135871	Non_legumes	o__SBR1031;__;__
82	g__A4b	1.062120242	Non_legumes	g__A4b
83	g__OLB13	1.498902776	Non_legumes	g__OLB13
84	g__SBR1031	1.658046319	Non_legumes	g__SBR1031
85	g__SJA-15	4.683988961	Non_legumes	g__SJA-15
86	c__Dehalococcoidia;__;__;__	1.611763437	Non_legumes	c__Dehalococcoidia;__;__;__
87	g__B12-WMSP1	5.390761958	Legumes	g__B12-WMSP1
88	g__C0119	1.3032131	Legumes	g__C0119
