	ID	Group
ERR2124150	1	Legumes
ERR2124151	2	Legumes
ERR2124152	3	Legumes
ERR2124153	4	Legumes
ERR2124154	5	Legumes
ERR2124155	6	Legumes
ERR2124156	7	Legumes
ERR2124157	8	Legumes
ERR2124158	9	Legumes
ERR2124159	10	Legumes
ERR2124160	11	Legumes
ERR2124161	12	Legumes
ERR2124162	13	Legumes
ERR2124163	14	Legumes
ERR2124187	15	Legumes
ERR2124188	16	Legumes
ERR2124189	17	Legumes
ERR2124190	18	Legumes
ERR2124191	19	Legumes
ERR2124192	20	Legumes
ERR2124193	21	Legumes
ERR2124194	22	Legumes
ERR2124195	23	Legumes
ERR2124196	24	Legumes
ERR2124200	25	Legumes
ERR2124201	26	Legumes
ERR2124202	27	Legumes
ERR2124209	28	Legumes
ERR2124210	29	Legumes
ERR2124211	30	Legumes
ERR2124212	31	Legumes
ERR2124213	32	Legumes
ERR2124214	33	Legumes
ERR2124218	34	Legumes
ERR2124219	35	Legumes
ERR2124220	36	Legumes
SRR10613828	37	Legumes
SRR10613829	38	Legumes
SRR10613830	39	Legumes
SRR10613831	40	Legumes
SRR10613832	41	Legumes
SRR10613833	42	Legumes
SRR10613834	43	Legumes
SRR10613835	44	Legumes
SRR10613836	45	Legumes
SRR10613837	46	Legumes
SRR10613838	47	Legumes
SRR10613839	48	Legumes
SRR10613840	49	Legumes
SRR10613841	50	Legumes
SRR10613843	51	Legumes
SRR10613844	52	Legumes
SRR10613845	53	Legumes
SRR10613846	54	Legumes
SRR10613847	55	Legumes
SRR10613848	56	Legumes
SRR10613849	57	Legumes
SRR10613850	58	Legumes
SRR10613851	59	Legumes
SRR10613852	60	Legumes
SRR11911113	61	Legumes
SRR11911114	62	Legumes
SRR11911115	63	Legumes
SRR11911116	64	Legumes
SRR11911117	65	Legumes
SRR11911118	66	Legumes
SRR11911119	67	Legumes
SRR11911120	68	Legumes
SRR11911121	69	Legumes
SRR11911122	70	Legumes
SRR11911123	71	Legumes
SRR11911124	72	Legumes
SRR11911125	73	Legumes
SRR11911126	74	Legumes
SRR11911127	75	Legumes
SRR11911128	76	Legumes
SRR11911129	77	Legumes
SRR11911130	78	Legumes
SRR11911131	79	Legumes
SRR11911132	80	Legumes
SRR11911133	81	Legumes
SRR11911134	82	Legumes
SRR11911135	83	Legumes
SRR11911136	84	Legumes
SRR11911137	85	Legumes
SRR11911138	86	Legumes
SRR11911140	87	Legumes
SRR11911141	88	Legumes
SRR11911142	89	Legumes
SRR11911143	90	Legumes
SRR11911144	91	Legumes
SRR11911145	92	Legumes
SRR11911146	93	Legumes
SRR11911147	94	Legumes
SRR11911148	95	Legumes
SRR11911149	96	Legumes
SRR12704154	97	Legumes
SRR12704155	98	Legumes
SRR12704156	99	Legumes
SRR12704157	100	Legumes
SRR12704210	101	Legumes
SRR12704211	102	Legumes
SRR12732103	103	Legumes
SRR12732104	104	Legumes
SRR12732105	105	Legumes
SRR12732106	106	Legumes
SRR12732107	107	Legumes
SRR12732108	108	Legumes
SRR12732109	109	Legumes
SRR12732110	110	Legumes
SRR12732111	111	Legumes
SRR12732112	112	Legumes
SRR12732115	113	Legumes
SRR12732116	114	Legumes
SRR12732117	115	Legumes
SRR12732118	116	Legumes
SRR12732119	117	Legumes
SRR12732120	118	Legumes
SRR12732121	119	Legumes
SRR12732122	120	Legumes
SRR12732123	121	Legumes
SRR12732125	122	Legumes
SRR12732126	123	Legumes
SRR12732127	124	Legumes
SRR12732128	125	Legumes
SRR12732129	126	Legumes
SRR12732130	127	Legumes
SRR12732131	128	Legumes
SRR12732132	129	Legumes
SRR12732133	130	Legumes
SRR12732134	131	Legumes
SRR12732136	132	Legumes
SRR12732137	133	Legumes
SRR12732138	134	Legumes
SRR12732139	135	Legumes
SRR12732140	136	Legumes
SRR12732141	137	Legumes
SRR12732142	138	Legumes
SRR12732143	139	Legumes
SRR12732144	140	Legumes
SRR12732145	141	Legumes
SRR12808160	142	Legumes
SRR12808161	143	Legumes
SRR12808162	144	Legumes
SRR12808163	145	Legumes
SRR12808164	146	Legumes
SRR12808165	147	Legumes
SRR12808166	148	Legumes
SRR12808167	149	Legumes
SRR12808168	150	Legumes
SRR12808169	151	Legumes
SRR12808170	152	Legumes
SRR12808171	153	Legumes
SRR12808172	154	Legumes
SRR12808173	155	Legumes
SRR12808174	156	Legumes
SRR12808175	157	Legumes
SRR12808176	158	Legumes
SRR12808177	159	Legumes
SRR12808178	160	Legumes
SRR12808179	161	Legumes
SRR12808180	162	Legumes
SRR12808181	163	Legumes
SRR12808182	164	Legumes
SRR12808183	165	Legumes
SRR12808184	166	Legumes
SRR12808185	167	Legumes
SRR12808186	168	Legumes
SRR12808187	169	Legumes
SRR12808188	170	Legumes
SRR12808189	171	Legumes
SRR12808190	172	Legumes
SRR12808191	173	Legumes
SRR12808192	174	Legumes
SRR12808193	175	Legumes
SRR12808194	176	Legumes
SRR12808195	177	Legumes
SRR12808196	178	Legumes
SRR12808197	179	Legumes
SRR12808198	180	Legumes
SRR12808199	181	Legumes
SRR12808200	182	Legumes
SRR12808201	183	Legumes
SRR14302116	184	Legumes
SRR14302117	185	Legumes
SRR14302118	186	Legumes
