	Kingdom	Phylum	Class	Order	Family	Genus	
OTU_1	Archaea	Aenigmarchaeota	Unassign	Unassign	Unassign	Unassign	
OTU_2	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Aenigmarchaeales	Aenigmarchaeales	
OTU_3	Archaea	Aenigmarchaeota	Deep_Sea_Euryarchaeotic_Group(DSEG)	Deep_Sea_Euryarchaeotic_Group(DSEG)	Deep_Sea_Euryarchaeotic_Group(DSEG)	Deep_Sea_Euryarchaeotic_Group(DSEG)	
OTU_4	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus_Altiarchaeum	
OTU_5	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	
OTU_6	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	
OTU_7	Archaea	Crenarchaeota	Methanomethylicia	Methanomethyliales	Methanomethyliaceae	Candidatus_Methanomethylicus	
OTU_8	Archaea	Crenarchaeota	Nitrososphaeria	Group_1.1c	Group_1.1c	Group_1.1c	
OTU_9	Archaea	Crenarchaeota	Nitrososphaeria	Marine_Benthic_Group_A	Marine_Benthic_Group_A	Marine_Benthic_Group_A	
OTU_10	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus	
OTU_11	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosotenuis	
OTU_12	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	
OTU_13	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Unassign	
OTU_14	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus	
OTU_15	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrososphaera	
OTU_16	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	
OTU_17	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	Candidatus_Nitrosotalea	
OTU_18	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	Nitrosotaleaceae	
OTU_19	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	
OTU_20	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	
OTU_21	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	
OTU_22	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermobacteriaceae	Methanothermobacter	
OTU_23	Archaea	Euryarchaeota	Thermococci	Methanofastidiosales	Unassign	Unassign	
OTU_24	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
OTU_25	Archaea	Halobacterota	Unassign	Unassign	Unassign	Unassign	
OTU_26	Archaea	Halobacterota	Halobacteria	Halobacterales	Haloferacaceae	Unassign	
OTU_27	Archaea	Halobacterota	Halobacteria	Halobacterales	Haloferacaceae	Halolamina	
OTU_28	Archaea	Halobacterota	Halobacteria	Halobacterales	Haloferacaceae	Natronococcus	
OTU_29	Archaea	Halobacterota	Halobacteria	Halobacterales	Halomicrobiaceae	Haloarcula	
OTU_30	Archaea	Halobacterota	Halobacteria	Halobacterales	Halomicrobiaceae	Natronomonas	
OTU_31	Archaea	Halobacterota	Methanocellia	Methanocellales	Methanocellaceae	Unassign	
OTU_32	Archaea	Halobacterota	Methanocellia	Methanocellales	Methanocellaceae	Methanocella	
OTU_33	Archaea	Halobacterota	Methanocellia	Methanocellales	Methanocellaceae	Rice_Cluster_I	
OTU_34	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocalculus	
OTU_35	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	
OTU_36	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	
OTU_37	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales	Unassign	
OTU_38	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	
OTU_39	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	
OTU_40	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanoperedenaceae	Candidatus_Methanoperedens	
OTU_41	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosaetaceae	Methanosaeta	
OTU_42	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanosarcina	
OTU_43	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	Iainarchaeales	Candidatus_Iainarchaeum	
OTU_44	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeales	Micrarchaeales	
OTU_45	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Unassign	Unassign	
OTU_46	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	CG1-02-57-44	CG1-02-57-44	
OTU_47	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011	AR15	
OTU_48	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	GW2011_GWC1_47_15	
OTU_49	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	SCGC_AAA011-D5	
OTU_50	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales	Woesearchaeales	
OTU_51	Archaea	Thermoplasmatota	Thermoplasmata	Unassign	Unassign	Unassign	
OTU_52	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Benthic_Group_D_and_DHVEG-1	Marine_Benthic_Group_D_and_DHVEG-1	Marine_Benthic_Group_D_and_DHVEG-1	
OTU_53	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II	Marine_Group_II	
OTU_54	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Unassign	Unassign	
OTU_55	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	
OTU_56	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Unassign	
OTU_57	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Unassign	Unassign	
OTU_58	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Unassign	
OTU_59	Archaea	Thermoplasmatota	Thermoplasmata	Unassign	Unassign	Unassign	
OTU_60	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	
OTU_61	Bacteria	Acetothermia	Acetothermiia	Acetothermiia	Acetothermiia	Acetothermiia	
OTU_62	Bacteria	Acidobacteriota	Unassign	Unassign	Unassign	Unassign	
OTU_63	Bacteria	Acidobacteriota	AT-s3-28	AT-s3-28	AT-s3-28	AT-s3-28	
OTU_64	Bacteria	Acidobacteriota	Acidobacteriae	Unassign	Unassign	Unassign	
OTU_65	Bacteria	Acidobacteriota	Acidobacteriae	AKIW659	AKIW659	AKIW659	
OTU_66	Bacteria	Acidobacteriota	Acidobacteriae	AMGG11	AMGG11	AMGG11	
OTU_67	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	
OTU_68	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Unassign	Unassign	
OTU_69	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Unassign	
OTU_70	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidicapsa	
OTU_71	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidipila	
OTU_72	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacterium	
OTU_73	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	
OTU_74	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Edaphobacter	
OTU_75	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	
OTU_76	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Occallatibacter	
OTU_77	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Telmatobacter	
OTU_78	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Terracidiphilus	
OTU_79	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Terriglobus	
OTU_80	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Unassign	
OTU_81	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriales	Acidobacteriales	
OTU_82	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus_Koribacter	
OTU_83	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Unassign	Unassign	
OTU_84	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_85	Bacteria	Acidobacteriota	Acidobacteriae	Elev-16S-1166	Elev-16S-1166	Elev-16S-1166	
OTU_86	Bacteria	Acidobacteriota	Acidobacteriae	GOUTB8	GOUTB8	GOUTB8	
OTU_87	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	PAUC26f	PAUC26f	
OTU_88	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	
OTU_89	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_12	Subgroup_12	Subgroup_12	
OTU_90	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_13	Subgroup_13	Subgroup_13	
OTU_91	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_15	Subgroup_15	Subgroup_15	
OTU_92	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_2	Subgroup_2	Subgroup_2	
OTU_93	Bacteria	Acidobacteriota	Acidobacteriota	Acidobacteriota	Acidobacteriota	Acidobacteriota	
OTU_94	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	
OTU_95	Bacteria	Acidobacteriota	Blastocatellia	Unassign	Unassign	Unassign	
OTU_96	Bacteria	Acidobacteriota	Blastocatellia	11-24	11-24	11-24	
OTU_97	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Unassign	
OTU_98	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter	
OTU_99	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	
OTU_100	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatellaceae	
OTU_101	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI_0001001-H03	
OTU_102	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	OLB17	
OTU_103	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	
OTU_104	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Tellurimicrobium	
OTU_105	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Unassign	
OTU_106	Bacteria	Acidobacteriota	Blastocatellia	DS-100	DS-100	DS-100	
OTU_107	Bacteria	Acidobacteriota	Blastocatellia	Elev-16S-573	Elev-16S-573	Elev-16S-573	
OTU_108	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	
OTU_109	Bacteria	Acidobacteriota	FFCH5909	FFCH5909	FFCH5909	FFCH5909	
OTU_110	Bacteria	Acidobacteriota	Holophagae	Unassign	Unassign	Unassign	
OTU_111	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	
OTU_112	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Unassign	
OTU_113	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix	
OTU_114	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophaga	
OTU_115	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophagaceae	
OTU_116	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Unassign	
OTU_117	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	
OTU_118	Bacteria	Acidobacteriota	Subgroup_11	Subgroup_11	Subgroup_11	Subgroup_11	
OTU_119	Bacteria	Acidobacteriota	Subgroup_18	Subgroup_18	Subgroup_18	Subgroup_18	
OTU_120	Bacteria	Acidobacteriota	Subgroup_20	Subgroup_20	Subgroup_20	Subgroup_20	
OTU_121	Bacteria	Acidobacteriota	Subgroup_21	Subgroup_21	Subgroup_21	Subgroup_21	
OTU_122	Bacteria	Acidobacteriota	Subgroup_22	Subgroup_22	Subgroup_22	Subgroup_22	
OTU_123	Bacteria	Acidobacteriota	Subgroup_25	Subgroup_25	Subgroup_25	Subgroup_25	
OTU_124	Bacteria	Acidobacteriota	Subgroup_26	Subgroup_26	Subgroup_26	Subgroup_26	
OTU_125	Bacteria	Acidobacteriota	Subgroup_5	Subgroup_5	Subgroup_5	Subgroup_5	
OTU_126	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	
OTU_127	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23	
OTU_128	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	TPD-58	
OTU_129	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculum	
OTU_130	Bacteria	Acidobacteriota	Vicinamibacteria	Unassign	Unassign	Unassign	
OTU_131	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	Subgroup_17	Subgroup_17	
OTU_132	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_9	Subgroup_9	Subgroup_9	
OTU_133	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unassign	Unassign	
OTU_134	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Unassign	
OTU_135	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	
OTU_136	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	
OTU_137	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	
OTU_138	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Unassign	
OTU_139	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unassign	Unassign	
OTU_140	Bacteria	Acidobacteriota	c5LKS83	c5LKS83	c5LKS83	c5LKS83	
